Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Estaca de Bares;A Coruña;11.3 (15:30);8.5 (06:30);9,9;66 (04:30);48 (04:30);0;0;0;0;0
As Pontes;A Coruña;12.8 (14:50);-1.0 (07:50);5,9;;;0;0;0;0;0
A Coruña;A Coruña;16.4 (14:40);6.7 (09:00);11,5;23 (04:10);18 (06:10);0;0;0;0;0
A Coruña Aeropuerto;A Coruña;15.3 (15:30);0.0 (06:50);7,7;22 (23:10);14 (06:40);0;0;0;0;0
Carballo, Depuradora;A Coruña;17.9 (15:10);-2.4 (09:00);7,7;;;0;0;0;0;0
Cabo Vilan;A Coruña;16.6 (13:00);8.9 (08:30);12,8;23 (08:30);16 (09:00);0;0;0;0;0
Vimianzo;A Coruña;17.0 (14:40);3.5 (09:30);10,3;;;0;0;0;0;0
Fisterra;A Coruña;17.7 (14:40);11.7 (23:59);14,7;32 (21:00);23 (21:10);0;0;0;0;0
Mazaricos;A Coruña;14.6 (16:20);2.0 (10:20);8,3;;;0;0;0;0;0
Sobrado;A Coruña;19.7 (16:20);-2.1 (09:00);8,8;;;0;0;0;0;0
Santiago de Compostela Aeropuerto;A Coruña;16.6 (14:50);2.3 (02:50);9,5;15 (16:40);12 (17:00);0;0;0;0;0
Noia;A Coruña;15.2 (13:40);5.7 (09:20);10,4;15 (01:10);7 (00:50);0;0;0;0;0
Boiro;A Coruña;18.1 (16:30);0.5 (08:40);9,3;;;0;0;0;0;0
Padrón;A Coruña;14.0 (16:10);-0.8 (09:00);6,6;32 (09:10);26 (04:00);0;0;0;0;0
Santiago de Compostela;A Coruña;17.5 (16:10);2.2 (08:50);9,9;18 (09:30);9 (10:00);0;0;0;0;0
Rois, Casas do Porto;A Coruña;15.9 (16:10);4.3 (07:40);10,1;;;0;0;0;0;0
Ossa de Montiel;Albacete;19.7 (15:10);-0.4 (06:50);9,7;13 (12:30);8 (12:50);0;0;0;0;0
Villarrobledo;Albacete;16.0 (16:30);-2.4 (07:30);6,8;17 (12:00);12 (14:00);0;0;0;0;0
Munera;Albacete;16.5 (15:30);-5.0 (06:20);5,8;15 (12:50);7 (13:50);0;0;0;0;0
Yeste, Embalse Fuensanta;Albacete;16.7 (15:50);-2.5 (08:30);7,1;;;0;0;0;0;0
Nerpio;Albacete;13.6 (14:00);-4.0 (01:10);4,8;;;0;0;0;0;0
Yeste;Albacete;15.8 (15:40);0.5 (04:50);8,2;;;0;0;0;0;0
Hellín;Albacete;17.2 (15:10);2.2 (08:10);9,7;22 (00:50);13 (09:30);0;0;0;0;0
Tobarra;Albacete;17.4 (15:20);-0.2 (08:00);8,6;;;0;0;0;0;0
Albacete Base Aérea;Albacete;16.5 (16:50);-5.3 (08:10);5,6;;;0;0;0;0;0
Chinchilla;Albacete;;;;;;;;;;
Albacete;Albacete;17.3 (16:30);-3.0 (09:00);7,1;9 (21:20);4 (21:20);0;0;0;0;0
Alcalá del Júcar;Albacete;14.3 (17:00);-3.4 (08:40);5,5;15 (15:40);7 (15:50);0;0;0;0;0
Almansa;Albacete;17.4 (15:40);-4.6 (07:50);6,4;13 (16:10);6 (15:40);0;0;0;0;0
Orihuela;Alacant/Alicante;17.0 (15:50);2.0 (06:10);9,5;18 (10:40);11 (12:20);0;0;0;0;0
Pinoso;Alacant/Alicante;15.8 (15:50);-4.6 (08:00);5,6;14 (16:10);8 (16:30);0;0;0;0;0
Rojales;Alacant/Alicante;18.5 (15:30);3.6 (07:20);11;19 (11:40);13 (12:20);0;0;0;0;0
Villena;Alacant/Alicante;18.4 (16:00);-5.0 (07:20);6,7;14 (10:40);10 (17:30);0;0;0;0;0
Novelda;Alacant/Alicante;19.8 (14:00);4.7 (05:40);12,2;;;0;0;0;0;0
Elche/Elx;Alacant/Alicante;20.6 (15:20);5.1 (23:00);12,9;;;0;0;0;0;0
Alicante-Elche Aeropuerto;Alacant/Alicante;20.0 (14:00);5.6 (04:10);12,8;18 (01:00);14 (01:10);0;0;0;0;0
Alicante/Alacant;Alacant/Alicante;20.6 (14:50);4.7 (04:00);12,7;15 (16:40);9 (13:50);0;0;0;0;0
Benidorm;Alacant/Alicante;19.1 (14:20);5.5 (01:50);12,3;14 (15:40);9 (13:20);0;0;0;0;0
Jávea/ Xàbia;Alacant/Alicante;21.1 (13:50);2.5 (06:40);11,8;19 (12:20);12 (04:00);0;0;0;0;0
Pego;Alacant/Alicante;20.0 (14:50);8.0 (07:20);14;19 (04:30);13 (04:30);0;0;0;0;0
Alcoy/Alcoi;Alacant/Alicante;17.3 (16:30);3.5 (07:50);10,4;23 (21:30);15 (21:40);0;0;0;0;0
Vélez Blanco - Topares;Almería;14.1 (16:20);0.9 (01:00);7,5;;;0;0;0;0;0
Adra;Almería;17.0 (16:20);10.7 (07:00);13,8;20 (09:30);8 (12:20);0;0;0;0;0
El Ejido;Almería;;;;;;;;;;
Roquetas de Mar;Almería;17.0 (14:20);5.8 (23:59);11,4;;;;;;;
Abla;Almería;17.8 (11:50);1.8 (04:40);9,8;30 (10:40);13 (10:40);0;0;0;0;0
Láujar de Andarax;Almería;14.6 (15:50);3.4 (00:20);9;26 (05:20);10 (14:30);0;0;0;0;0
Almería Aeropuerto;Almería;17.9 (12:10);8.3 (06:30);13,1;35 (03:50);23 (03:50);0;0;0;0;0
Cabo de Gata;Almería;16.2 (12:40);12.8 (06:30);14,5;32 (11:40);23 (13:40);0;0;0;0;0
Garrucha, Puerto;Almería;17.7 (12:40);6.3 (08:20);12;24 (02:30);20 (08:50);0;0;0;0;0
Albox;Almería;19.2 (15:40);4.4 (04:30);11,8;17 (22:50);14 (22:40);0;0;0;0;0
Huércal-Overa;Almería;21.1 (13:20);1.4 (06:00);11,3;16 (15:30);10 (15:30);0;0;0;0;0
Aramaio;Araba/Álava;11.9 (15:00);1.5 (04:30);6,7;;;0;0;0;0;0
Amurrio;Araba/Álava;11.9 (16:10);-2.8 (08:50);4,5;10 (16:30);6 (16:20);0;0;0;0;0
Lalastra;Araba/Álava;15.5 (15:20);-0.5 (05:40);7,5;24 (17:50);9 (17:50);0;0;0;0;0
Agurain/Salvatierra;Araba/Álava;12.5 (16:10);-0.4 (06:50);6;15 (21:40);12 (21:40);0;0;0;0;0
Vitoria Gasteiz Aeropuerto;Araba/Álava;14.2 (16:30);-4.6 (07:40);4,8;26 (17:30);16 (17:30);0;0;0;0;0
Labastida;Araba/Álava;16.6 (14:30);0.7 (05:20);8,7;27 (17:00);16 (17:00);0;0;0;0;0
Leza;Araba/Álava;15.5 (16:30);-1.8 (07:50);6,9;;;0;0;0;0;0
Campezo/Kanpezu;Araba/Álava;17.2 (15:30);2.6 (05:20);9,9;;;0;0;0;0;0
Cabrales;Asturias;14.6 (14:10);3.2 (00:00);8,9;20 (15:40);14 (16:00);0;0;0;0;0
Llanes;Asturias;11.5 (15:00);6.6 (08:50);9;33 (15:50);16 (15:20);0;0;0;0;0
Amieva, Panizales;Asturias;14.0 (15:20);1.6 (01:10);7,8;10 (14:30);6 (14:20);0;0;0;0;0
Piloña;Asturias;13.4 (15:10);-2.2 (09:20);5,6;15 (17:10);8 (17:10);0,2;0;0;0,2;0
Colunga;Asturias;11.4 (14:50);7.4 (23:40);9,4;35 (01:30);21 (01:40);0;0;0;0;0
Gijón, Campus;Asturias;13.7 (14:30);0.6 (09:00);7,1;25 (17:10);14 (17:10);0;0;0;0;0
Cabo Peñas;Asturias;;;;50 (17:30);34 (01:30);0;0;0;0;0
Asturias Aeropuerto;Asturias;12.0 (14:30);0.8 (07:40);6,4;33 (12:00);25 (12:00);0;0;0;0;0
Puerto de Pajares;Asturias;15.2 (14:00);5.6 (18:40);10,4;27 (00:40);21 (08:10);0;0;0;0;0
Pola de Lena;Asturias;13.5 (14:30);-2.1 (06:40);5,7;21 (01:20);11 (01:20);0;0;0;0;0
Aller;Asturias;13.0 (13:00);2.0 (01:00);7,5;17 (04:30);12 (16:00);0;0;0;0;0
Mieres;Asturias;13.3 (15:20);-1.6 (09:00);5,9;10 (14:50);7 (15:30);0;0;0;0;0
Oviedo;Asturias;11.0 (16:00);0.8 (09:10);5,9;15 (09:10);12 (09:10);0;0;0;0;0
Tineo, Soto de la Barca;Asturias;9.2 (16:40);-2.5 (08:40);3,3;12 (16:30);7 (16:30);0;0;0;0;0
Pola de Somiedo;Asturias;16.1 (14:30);-1.5 (02:20);7,3;8 (07:20);6 (07:20);0;0;0;0;0
Salas;Asturias;14.2 (16:20);0.5 (07:40);7,3;9 (03:30);5 (03:30);0;0;0;0;0
Cabo Busto;Asturias;12.3 (16:10);2.8 (09:00);7,6;;;0;0;0;0;0
Degaña;Asturias;16.0 (15:00);4.8 (23:00);10,4;30 (10:40);18 (00:30);0;0;0;0;0
Ibias, San Antolin;Asturias;18.0 (15:50);5.9 (00:00);12;18 (21:50);11 (21:50);0;0;0;0;0
Villayón, Oneta;Asturias;12.9 (14:20);4.7 (01:30);8,8;11 (08:20);6 (08:20);0;0;0;0;0
Castropol;Asturias;13.4 (16:30);1.1 (08:00);7,2;26 (10:10);14 (10:10);0;0;0;0;0
Taramundi, Ouria;Asturias;12.5 (15:00);2.3 (05:20);7,4;18 (10:50);14 (10:50);0;0;0;0;0
Puerto de Leitariegos;Asturias;14.3 (14:30);4.6 (23:10);9,5;;;0;0;0;0;0
Muñotello;Ávila;16.3 (16:20);1.7 (08:50);9;17 (17:40);13 (17:40);0;0;0;0;0
Ávila;Ávila;17.0 (15:30);-2.2 (08:50);7,4;16 (17:20);12 (03:30);0;0;0;0;0
Gotarrendura;Ávila;11.8 (14:00);-4.0 (01:30);3,9;16 (15:30);11 (15:30);0;0;0;0;0
Arevalo;Ávila;10.0 (16:10);-5.0 (08:00);2,5;12 (13:00);8 (13:40);0;0;0;0;0
Rivilla de Barajas;Ávila;10.4 (16:50);0.1 (04:30);5,2;14 (13:30);10 (05:20);0;0;0;0;0
Navarredonda de Gredos;Ávila;;;;14 (11:50);6 (11:50);;;;;
Barco de Avila;Ávila;16.7 (15:50);-2.8 (06:50);7;27 (09:10);15 (09:10);;;;;
Puerto El Pico;Ávila;14.9 (15:20);-8.1 (08:20);3,4;21 (15:30);11 (15:30);0;0;0;0;0
Cebreros;Ávila;18.2 (14:20);2.5 (06:30);10,4;17 (04:30);6 (04:30);0;0;0;0;0
Candeleda;Ávila;19.5 (17:30);-0.5 (07:50);9,5;9 (22:20);7 (22:20);0;0;0;0;0
Herrera del Duque;Badajoz;17.9 (16:50);0.0 (06:50);8,9;10 (18:30);8 (18:40);0;0;0;0;0
Peraleda del Zaucejo;Badajoz;15.5 (15:10);-2.6 (07:50);6,5;12 (17:10);8 (16:50);0;0;0;0;0
Castuera;Badajoz;15.5 (14:50);4.3 (08:10);9,9;24 (07:10);18 (08:40);0;0;0;0;0
Navalvillar de Pela;Badajoz;17.4 (17:10);1.5 (08:30);9,4;19 (01:00);15 (03:50);0;0;0;0;0
Don Benito;Badajoz;16.8 (16:10);1.6 (08:50);9,2;15 (13:40);8 (13:40);0;0;0;0;0
Llerena;Badajoz;15.0 (15:50);3.5 (05:20);9,3;19 (13:50);14 (14:10);0;0;0;0;0
Villafranca de los Barros;Badajoz;15.9 (15:50);0.3 (08:20);8,1;17 (14:50);13 (01:20);0;0;0;0;0
Mérida;Badajoz;16.7 (14:40);0.6 (05:40);8,7;13 (11:10);8 (02:50);0;0;0;0;0
Zafra;Badajoz;16.9 (16:00);0.5 (06:50);8,7;15 (11:50);10 (11:50);0;0;0;0;0
Almendralejo;Badajoz;14.7 (15:00);1.8 (05:20);8,2;17 (23:40);15 (23:40);0;0;0;0;0
Badajoz Aeropuerto;Badajoz;15.8 (16:40);-0.3 (08:50);7,8;18 (13:00);14 (16:00);0;0;0;0;0
Alburquerque;Badajoz;16.9 (15:40);-1.3 (08:10);7,8;19 (12:30);11 (12:30);0;0;0;0;0
Puebla de Obando;Badajoz;15.8 (15:40);1.9 (07:50);8,9;23 (12:00);16 (13:50);0;0;0;0;0
Badajoz;Badajoz;15.6 (15:50);0.2 (06:50);7,9;19 (13:10);9 (15:10);0;0;0;0;0
Olivenza;Badajoz;14.8 (15:40);1.6 (07:50);8,2;22 (15:10);18 (09:20);0;0;0;0;0
Alconchel;Badajoz;15.3 (16:20);2.8 (09:00);9,1;19 (19:10);14 (19:10);0;0;0;0;0
Barcarrota;Badajoz;;;;;;;0;0;0;
Villanueva del Fresno;Badajoz;16.5 (16:40);4.2 (08:50);10,3;21 (20:10);16 (02:10);0;0;0;0;0
Monesterio;Badajoz;14.6 (15:50);5.3 (03:40);10;34 (09:20);20 (09:20);0;0;0;0;0
Fuente de Cantos;Badajoz;15.3 (16:00);3.7 (06:10);9,5;23 (13:10);19 (03:50);0;0;0;0;0
Jerez de los Caballeros;Badajoz;16.0 (16:10);1.0 (08:30);8,5;26 (14:00);20 (14:10);0;0;0;0;0
Fregenal de la Sierra;Badajoz;15.9 (16:20);0.3 (03:20);8,1;22 (11:20);12 (11:20);0;0;0;0;0
Azuaga;Badajoz;15.6 (15:40);1.3 (08:50);8,5;18 (12:40);11 (12:40);0;0;0;0;0
Pontons;Barcelona;19.5 (14:40);3.1 (03:10);11,3;19 (12:20);13 (01:40);0;0;0;0;0
Vilafranca del Penedès;Barcelona;18.2 (16:00);0.2 (07:20);9,2;13 (10:10);8 (11:00);0;0;0;0;0
Sitges;Barcelona;16.5 (14:00);6.1 (01:10);11,3;16 (17:30);9 (17:30);0;0;0;0;0
Barcelona Aeropuerto;Barcelona;16.6 (13:20);5.7 (07:30);11,2;41 (00:40);33 (02:20);0;0;0;0;0
Berga;Barcelona;14.8 (14:50);3.4 (06:00);9,1;19 (02:00);10 (04:30);0;0;0;0;0
Balsareny;Barcelona;14.4 (15:20);-3.0 (06:20);5,7;12 (03:20);8 (20:00);0;0;0;0;0
Prats de Lluçanès;Barcelona;15.7 (15:00);0.5 (08:00);8,1;9 (18:10);6 (03:10);0;0;0;0;0
Moià;Barcelona;17.1 (13:50);5.0 (06:00);11,1;19 (00:20);9 (16:20);0;0;0;0;0
Manresa;Barcelona;14.1 (16:10);-1.9 (05:40);6,1;13 (16:20);8 (07:40);0;0;0;0;0
Monistrol de Montserrat;Barcelona;13.2 (14:10);9.9 (22:40);11,5;;;0;0;0;0;0
Igualada;Barcelona;14.3 (15:20);-0.2 (06:20);7,1;16 (13:30);6 (14:10);0;0;0;0;0
Corbera, Pic d'Agulles;Barcelona;14.9 (13:00);7.8 (06:30);11,3;;;0;0;0;0;0
Barcelona;Barcelona;17.1 (15:20);6.5 (09:00);11,8;27 (02:00);19 (01:20);0;0;0;0;0
Barcelona, Museo Marítimo;Barcelona;18.1 (14:30);8.8 (08:40);13,5;16 (12:50);9 (05:00);0;0;0;0;0
Caldes de Montbui;Barcelona;17.2 (16:00);-1.1 (06:20);8,1;14 (18:10);11 (18:10);0;0;0;0;0
Vilassar de Dalt;Barcelona;20.7 (12:40);9.0 (08:10);14,9;26 (00:20);14 (13:30);0;0;0;0;0
Arenys de Mar;Barcelona;;;;;;;;;;
Santa Susanna;Barcelona;17.6 (15:10);3.7 (08:30);10,7;27 (00:20);13 (03:00);;;;;
Fogars de Montclús;Barcelona;15.9 (12:30);7.9 (08:30);11,9;;;0;0;0;0;0
Tona;Barcelona;15.9 (15:20);-0.6 (08:10);7,6;9 (20:30);8 (20:30);0;0;0;0;0
Sant Julià  de Vilatorta;Barcelona;14.5 (16:00);-1.9 (08:20);6,3;10 (13:20);5 (01:30);0;0;0;0;0
Lekeitio;Bizkaia;10.7 (16:10);4.2 (03:10);7,4;18 (18:10);12 (03:20);0;0;0;0;0
Forua;Bizkaia;10.8 (15:10);0.8 (03:00);5,8;18 (16:20);12 (16:00);0;0;0;0;0
Machichaco;Bizkaia;8.4 (13:00);6.1 (23:50);7,2;31 (17:20);23 (17:30);0;0;0;0;0
Punta Galea;Bizkaia;;;;;;;0;0,1;;
Orozko;Bizkaia;12.5 (14:50);-0.6 (08:30);5,9;10 (15:20);8 (16:00);0;0;0;0;0
Abadiño;Bizkaia;9.5 (19:50);3.5 (02:40);6,5;;;0;0;0;0;0
Amorebieta--Etxano;Bizkaia;10.4 (16:20);1.3 (01:10);5,8;14 (13:50);10 (13:50);0;0;0;0;0
Balmaseda;Bizkaia;11.5 (15:40);-2.4 (09:00);4,5;;;0;0;0;0;0
Güeñes;Bizkaia;11.2 (15:50);0.1 (09:30);5,6;10 (18:10);5 (18:10);0;0;0;0;0
Bilbao Aeropuerto;Bizkaia;12.2 (15:40);1.3 (02:30);6,7;17 (10:30);10 (02:00);0;0;0;0;0
Sopuerta;Bizkaia;12.6 (15:10);-0.3 (08:00);6,2;8 (14:30);5 (14:10);0;0;0;0;0
Coruña del Conde;Burgos;12.9 (16:00);-1.8 (07:40);5,5;14 (15:50);10 (03:50);0;0;0;0;0
Aranda de Duero;Burgos;10.5 (16:20);-6.5 (08:50);2;11 (15:10);5 (11:10);0;0;0;0;0
Villadiego;Burgos;16.4 (15:30);4.3 (01:20);10,3;35 (16:30);28 (00:40);0;0;0;0;0
Pedrosa del Príncipe;Burgos;16.2 (16:10);-4.7 (08:20);5,8;17 (22:10);12 (22:00);0;0;0;0;0
Palacios de la Sierra;Burgos;15.2 (15:40);-4.7 (08:20);5,3;;;0;0;0;0;0
Monterrubio de la Demanda;Burgos;14.5 (15:00);0.2 (06:40);7,4;29 (13:40);23 (14:00);0;0;0;0;0
Villamayor de los Montes;Burgos;13.9 (16:30);-3.0 (07:50);5,4;21 (18:50);12 (19:00);0;0;0;0;0
Burgos Aeropuerto;Burgos;14.6 (14:50);-0.5 (06:30);7,1;32 (15:00);25 (15:30);0;0;0;0;0
Santa Gadea de Alfoz;Burgos;14.8 (15:20);4.4 (04:50);9,6;;;0;0;0;0;0
Sargentes de la Lora;Burgos;14.7 (14:40);3.1 (00:30);8,9;26 (15:20);21 (15:20);0;0;0;0;0
Briviesca;Burgos;14.3 (16:10);-1.9 (02:10);6,2;19 (04:50);12 (04:50);0;0;0;0;0
Medina de Pomar;Burgos;14.0 (16:10);-4.6 (08:30);4,7;16 (17:40);8 (18:00);0;0;0;0;0
Miranda de Ebro;Burgos;16.6 (15:20);-4.0 (08:20);6,3;7 (23:20);4 (18:20);0;0;0;0;0
Belorado;Burgos;13.9 (15:10);1.1 (06:50);7,5;14 (06:00);10 (18:10);0;0;0;0;0
Puerto Rey;Cáceres;17.4 (15:20);2.8 (08:10);10,1;;;0;0;0;0;0
Navalvillar de Ibor;Cáceres;13.1 (14:50);4.9 (07:40);9;21 (02:40);12 (03:30);0;0;0;0;0
Madrigal de la Vera;Cáceres;16.7 (16:00);3.9 (06:20);10,3;13 (07:10);6 (04:20);0;0;0;0;0
Navalmoral de la Mata;Cáceres;16.1 (15:50);-0.9 (08:30);7,6;21 (05:30);14 (05:30);0;0;0;0;0
Garganta la Olla;Cáceres;16.7 (15:10);5.2 (08:30);11;17 (00:50);13 (00:50);0;0;0;0;0
Serradilla;Cáceres;13.3 (15:10);3.5 (08:20);8,4;33 (03:30);20 (03:30);0;0;0;0;0
Jaraicejo;Cáceres;16.1 (16:40);7.2 (00:30);11,7;39 (05:00);29 (05:00);0;0;0;0;0
Trujillo;Cáceres;15.8 (15:40);1.8 (08:30);8,8;10 (12:00);6 (12:00);0;0;0;0;0
Cáceres;Cáceres;15.1 (16:40);1.4 (04:50);8,3;10 (18:40);8 (18:40);0;0;0;0;0
Cañaveral;Cáceres;16.2 (16:50);2.3 (08:10);9,3;19 (04:40);13 (03:50);0;0;0;0;0
Nuñomoral;Cáceres;15.9 (15:40);-3.3 (09:10);6,3;12 (17:30);8 (17:30);0,2;0;0,2;0;0
Guijo de Granadilla;Cáceres;16.8 (15:50);2.4 (08:00);9,6;19 (03:20);13 (03:20);0;0;0;0;0
Hervás;Cáceres;14.1 (16:40);4.6 (00:50);9,4;19 (23:59);14 (10:50);0;0;0;0;0
Montehermoso;Cáceres;16.6 (17:00);-0.1 (05:10);8,3;10 (14:50);6 (01:20);0;0;0;0;0
Tornavacas;Cáceres;18.1 (13:50);8.2 (08:20);13,2;45 (04:20);31 (04:40);0;0;0;0;0
Piornal;Cáceres;14.8 (15:50);5.6 (00:40);10,2;27 (10:20);15 (13:00);0;0;0;0;0
Plasencia;Cáceres;17.5 (17:10);5.7 (06:30);11,6;20 (09:20);9 (11:00);0;0;0;0;0
Coria;Cáceres;15.8 (15:50);0.1 (07:20);8;20 (14:40);12 (14:50);0;0;0;0;0
Torrecilla de los Angeles;Cáceres;16.8 (15:50);0.5 (04:10);8,6;16 (14:00);10 (13:10);0;0;0;0;0
Hoyos;Cáceres;17.7 (15:40);3.9 (08:30);10,8;14 (13:10);9 (04:30);0;0;0;0;0
Zarza La Mayor;Cáceres;14.9 (16:40);4.3 (09:00);9,6;15 (08:20);10 (01:50);0;0;0;0;0
Valverde del Fresno;Cáceres;17.8 (16:20);1.9 (04:20);9,8;13 (18:40);12 (18:40);0;0;0;0;0
Aliseda;Cáceres;15.4 (16:40);-0.1 (09:40);7,6;11 (14:30);6 (14:30);0;0;0;0;0
Brozas;Cáceres;14.6 (15:30);4.1 (07:20);9,4;28 (03:50);22 (04:00);0;0;0;0;0
Valencia de Alcántara;Cáceres;14.9 (16:20);0.1 (08:10);7,5;23 (13:10);13 (14:00);0;0;0;0;0
Guadalupe;Cáceres;18.4 (14:20);5.6 (01:40);12;12 (14:50);6 (14:50);0;0;0;0;0
Cañamero;Cáceres;17.0 (16:00);5.7 (06:10);11,3;19 (02:00);8 (00:10);0;0;0;0;0
Zorita;Cáceres;16.9 (16:20);4.1 (08:30);10,5;23 (01:50);18 (01:50);0;0;0;0;0
Alcuescar;Cáceres;15.8 (15:20);1.8 (09:10);8,8;22 (01:20);12 (01:20);0;0;0;0;0
Chipiona;Cádiz;17.0 (16:30);6.7 (07:30);11,8;21 (13:20);11 (12:50);0;0;0;0;0
Rota, Base Naval;Cádiz;16.4 (16:30);5.5 (08:10);10,9;;;0;0;0;0;0
Grazalema;Cádiz;15.4 (14:50);3.6 (07:50);9,5;40 (10:20);21 (17:40);0;0;0;0;0
Olvera;Cádiz;18.5 (15:30);8.1 (06:40);13,3;37 (04:20);15 (05:20);0;0;0;0;0
El Bosque;Cádiz;19.7 (16:20);5.5 (09:00);12,6;24 (15:30);16 (15:30);0;0;0;0;0
San José del Valle;Cádiz;19.2 (14:40);10.8 (23:59);15;34 (05:00);23 (01:10);0;0;0;0;0
Jerez de la Frontera Aeropuerto;Cádiz;18.3 (15:10);2.7 (07:10);10,5;30 (12:50);20 (12:50);0;0;0;0;0
San Fernando;Cádiz;17.9 (16:00);12.5 (08:30);15,2;48 (13:20);26 (12:10);0;0;0;0;0
