Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Velilla del Río Carrión, Camporredondo de Alba;Palencia;15.3 (14:40);5.2 (03:00);10,3;28 (20:30);22 (20:00);0;0;0;0;0
Carrión de los Condes;Palencia;16.6 (15:40);-0.7 (09:10);8;30 (22:50);16 (22:50);0;0;0;0;0
Autilla del Pino;Palencia;13.7 (16:50);-0.7 (09:30);6,5;23 (01:30);19 (01:40);0;0;0;0;0
Palencia;Palencia;13.5 (16:10);-4.1 (09:00);4,7;10 (00:30);8 (17:40);0;0;0;0;0
Santervás de la Vega, Villapún;Palencia;16.3 (14:30);2.6 (07:40);9,4;32 (13:20);22 (13:10);0;0;0;0;0
Silleda;Pontevedra;18.5 (14:40);6.0 (22:00);12,3;29 (07:40);20 (07:40);0;0;0;0;0
A Estrada;Pontevedra;14.9 (15:40);0.7 (08:50);7,8;;;0;0;0;0;0
VilagarcÍa de Arousa;Pontevedra;16.6 (16:40);2.4 (09:20);9,5;13 (00:40);8 (07:10);0;0;0;0;0
Pontevedra;Pontevedra;16.3 (17:20);5.1 (09:50);10,7;21 (01:40);13 (01:50);0;0;0;0;0
A Lama;Pontevedra;19.0 (13:50);1.1 (23:59);10,1;27 (07:40);15 (08:10);0;0;0;0;0
Vigo Aeropuerto;Pontevedra;13.7 (15:00);3.1 (09:30);8,4;26 (07:00);18 (08:30);0;0;0;0;0
Vigo;Pontevedra;17.9 (15:20);8.4 (09:20);13,1;15 (05:50);6 (05:50);0;0;0;0;0
A Cañiza;Pontevedra;17.9 (14:30);4.9 (08:50);11,4;;;0;0;0;0;0
Ponteareas, Canedo;Pontevedra;14.7 (16:30);-1.7 (09:10);6,5;;;0;0;0;0;0
O Rosal;Pontevedra;16.7 (16:50);0.8 (08:30);8,8;;;0;0;0;0;0
La Covatilla, estación de esquí;Salamanca;12.0 (16:00);2.2 (20:20);7,1;40 (00:10);27 (00:10);0;0;0;0;0
Pedrosillo de Los Aires;Salamanca;12.9 (15:10);-6.4 (08:30);3,2;24 (16:20);19 (16:20);0;0;0;0;0
Pedraza de Alba;Salamanca;10.9 (14:10);-5.9 (08:20);2,5;14 (14:50);10 (14:40);0,2;0;0,2;0;0
Salamanca Aeropuerto;Salamanca;12.9 (17:10);-5.6 (06:40);3,6;17 (15:00);12 (15:40);0;0;0;0;0
Salamanca;Salamanca;14.5 (16:50);-3.0 (08:40);5,8;10 (14:40);5 (08:10);0;0;0;0;0
Barbadillo;Salamanca;11.9 (17:10);-5.2 (08:00);3,3;15 (12:30);12 (12:30);0;0;0;0;0
Ledesma;Salamanca;12.3 (15:50);-4.8 (08:20);3,8;17 (14:50);13 (15:00);0;0;0;0;0
Villarino de los Aires;Salamanca;17.9 (16:50);-0.3 (07:10);8,8;19 (04:40);16 (05:00);0;0;0;0;0
Boadilla Fuente San Esteban;Salamanca;13.4 (16:20);-2.1 (09:00);5,6;19 (01:50);12 (00:40);0;0;0;0;0
Vitigudino;Salamanca;14.4 (15:50);-1.5 (08:20);6,4;22 (03:20);17 (02:20);0;0;0;0;0
El Maíllo;Salamanca;15.5 (12:40);2.9 (06:10);9,2;26 (23:00);22 (22:10);0;0;0;0;0
Bañobárez;Salamanca;13.0 (15:50);-2.6 (04:10);5,2;19 (00:20);13 (00:20);0;0;0;0;0
Navasfrías;Salamanca;16.1 (15:00);-5.4 (06:10);5,4;13 (15:40);8 (15:50);0;0;0;0;0
El Bodón Base Aérea;Salamanca;11.1 (16:30);-3.4 (08:10);3,9;18 (08:50);14 (08:50);0;0;0;0;0
Saelices El Chico;Salamanca;13.4 (17:30);-4.9 (08:40);4,2;12 (22:10);9 (22:10);0;0;0;0;0
Fresno de Cantespino;Segovia;14.0 (15:50);-6.4 (07:00);3,8;16 (22:00);12 (22:00);0;0;0;0;0
Aldeanueva de Serrezuela;Segovia;14.4 (14:30);6.9 (23:30);10,6;18 (22:00);13 (22:00);0;0;0;0;0
La Pinilla, estación de esquí;Segovia;11.7 (13:30);4.3 (23:10);8;37 (00:20);31 (02:20);0;0;0;0;0
Pedraza;Segovia;15.3 (16:00);1.9 (01:50);8,6;12 (01:50);9 (22:40);0;0;0;0;0
Cuéllar;Segovia;17.2 (16:40);-8.3 (06:40);4,5;10 (14:20);5 (18:10);0;0;0;0;0
Segovia;Segovia;14.4 (14:30);1.6 (04:30);8;13 (15:10);9 (15:10);0;0;0;0;0
San Rafael;Segovia;16.5 (14:10);0.0 (08:10);8,3;;;0;0;0;0;0
Miguelañez;Segovia;12.8 (16:30);-2.2 (08:30);5,3;18 (07:00);15 (06:40);0;0;0;0;0
La Roda de Andalucía;Sevilla;17.3 (16:30);2.8 (07:30);10;27 (11:00);16 (15:20);0;0;0;0;0
Lora de Estepa;Sevilla;17.2 (17:00);7.9 (06:50);12,6;;;0;0;0;0;0
Écija;Sevilla;18.0 (16:40);3.0 (08:20);10,5;17 (12:40);12 (16:50);0;0;0;0;0
La Puebla de los Infantes;Sevilla;16.2 (16:00);-1.4 (07:10);7,4;18 (12:10);13 (12:30);0;0;0;0;0
Fuentes de Andalucía;Sevilla;16.8 (15:40);5.0 (08:50);10,9;22 (15:30);13 (20:30);0;0;0;0;0
Carmona;Sevilla;17.4 (16:20);5.1 (08:40);11,2;35 (11:40);24 (11:30);0;0;0;0;0
Cazalla de la Sierra;Sevilla;17.0 (15:40);0.4 (07:00);8,7;17 (11:10);10 (11:10);0;0;0;0;0
Guadalcanal;Sevilla;17.7 (16:40);3.8 (09:00);10,8;20 (21:20);17 (21:20);0;0;0;0;0
Almadén de la Plata;Sevilla;15.8 (15:40);4.4 (09:20);10,1;22 (13:20);11 (13:30);0;0;0;0;0
Sevilla Aeropuerto;Sevilla;17.6 (15:50);5.2 (08:40);11,4;32 (13:50);25 (13:50);0;0;0;0;0
Sevilla, Tablada;Sevilla;18.3 (15:00);6.5 (07:30);12,4;21 (15:50);11 (15:10);0;0;0;0;0
Morón de la Frontera;Sevilla;19.8 (16:30);4.6 (07:40);12,2;26 (21:50);14 (00:30);0;0;0;0;0
Carrión de los Céspedes;Sevilla;17.3 (16:20);7.5 (06:00);12,4;32 (09:50);18 (10:50);0;0;0;0;0
Las Cabezas de San Juan;Sevilla;18.4 (16:20);3.6 (07:10);11;15 (13:40);9 (13:40);0;0;0;0;0
Osuna;Sevilla;17.9 (16:00);10.4 (07:50);14,1;34 (05:00);19 (11:40);0;0;0;0;0
Vinuesa, Quintanarejo;Soria;17.1 (14:10);-0.9 (07:30);8,1;;;0;0;0;0;0
La Póveda de Soria, Barriomartín;Soria;15.3 (13:10);2.3 (05:00);8,8;41 (22:00);25 (21:50);0;0;0;0;0
Soria;Soria;19.4 (16:10);-3.3 (06:50);8;10 (16:30);7 (16:40);0;0;0;0;0
Lubia;Soria;16.9 (14:40);-1.5 (07:10);7,7;20 (13:20);13 (13:20);0;0;0;0;0
Morón de Almazán;Soria;14.6 (15:30);-7.2 (08:30);3,7;21 (16:00);14 (15:20);0;0;0;0;0
La Riba de Escalote;Soria;15.2 (15:20);-5.9 (08:40);4,6;21 (15:50);14 (16:00);0;0;0;0;0
Ucero;Soria;14.3 (14:30);-5.3 (09:30);4,5;;;0;0;0;0;0
Burgo de Osma;Soria;14.0 (16:20);-6.5 (07:40);3,8;18 (15:50);14 (15:50);0;0;0;0;0
Liceras;Soria;13.8 (11:30);1.4 (05:50);7,6;17 (14:10);14 (10:50);0;0;0;0;0
Ólvega;Soria;18.4 (12:30);-0.5 (08:20);8,9;19 (02:50);13 (00:10);0;0;0;0;0
San Pedro Manrique;Soria;15.9 (13:50);-4.6 (08:30);5,6;23 (15:30);14 (15:40);0;0;0;0;0
Arcos de Jalón;Soria;16.0 (16:20);-3.1 (07:30);6,5;22 (01:30);18 (01:20);0;0;0;0;0
Almazul;Soria;15.1 (16:00);-3.5 (08:20);5,8;15 (14:30);11 (15:10);0;0;0;0;0
Puntagorda;Santa Cruz de Tenerife;16.2 (11:50);9.4 (02:10);12,8;44 (15:10);31 (15:10);0;0;0;0;0
Tijarafe;Santa Cruz de Tenerife;17.1 (16:40);10.3 (01:30);13,7;39 (22:40);9 (22:40);0;0;0;0;0
El Paso;Santa Cruz de Tenerife;16.4 (12:10);5.6 (05:00);11;26 (15:00);17 (16:20);0;0;0;0;0
Fuencaliente;Santa Cruz de Tenerife;21.3 (15:00);16.4 (04:40);18,8;36 (13:30);27 (13:20);0;0;0;0;0
Tazacorte;Santa Cruz de Tenerife;21.0 (14:40);15.3 (03:30);18,2;33 (14:30);16 (12:50);0;0;0;0;0
La Palma Aeropuerto;Santa Cruz de Tenerife;21.7 (15:50);16.1 (00:10);18,9;39 (16:00);29 (16:40);0;0;0;0;0
San Andrés y Sauces;Santa Cruz de Tenerife;18.8 (11:00);12.8 (02:10);15,8;37 (12:50);22 (11:40);0;0;0;0;0
Vallehermoso, Alto Igualero;Santa Cruz de Tenerife;11.2 (16:10);4.6 (07:10);7,9;51 (10:00);41 (09:20);0,2;0;0,2;0;0
Arure;Santa Cruz de Tenerife;16.2 (15:10);8.4 (00:00);12,3;42 (23:20);27 (23:00);0;0;0;0;0
Agulo;Santa Cruz de Tenerife;18.2 (15:40);10.0 (00:30);14,1;40 (09:20);23 (13:10);0;0;0;0;0
Vallehermoso, Dama;Santa Cruz de Tenerife;21.6 (15:20);13.9 (00:00);17,8;45 (11:50);27 (11:50);0;0;0;0;0
Hermigua;Santa Cruz de Tenerife;20.9 (15:20);10.9 (23:30);15,9;37 (13:40);14 (13:00);0;0;0;0;0
San Sebastián de la Gomera;Santa Cruz de Tenerife;20.7 (14:20);15.6 (00:00);18,2;32 (12:10);18 (11:50);0;0;0;0;0
La Orotava, Cañadas Teide;Santa Cruz de Tenerife;12.2 (15:50);-1.3 (04:30);5,4;28 (16:00);18 (16:10);0;0;0;0;0
Adeje;Santa Cruz de Tenerife;23.2 (14:30);16.1 (05:20);19,7;33 (10:10);15 (22:10);0;0;0;0;0
Arico;Santa Cruz de Tenerife;21.1 (14:50);12.7 (08:30);16,9;31 (13:40);19 (15:10);0;0;0;0;0
Tenerife Sur Aeropuerto;Santa Cruz de Tenerife;23.7 (14:10);14.5 (07:50);19,1;26 (06:40);16 (23:10);0;0;0;0;0
Izaña;Santa Cruz de Tenerife;8.9 (12:10);2.5 (07:00);5,7;44 (19:00);34 (19:00);0;0;0;0;0
Candelaria;Santa Cruz de Tenerife;19.5 (14:10);11.7 (00:40);15,6;40 (13:00);24 (14:50);0;0;0;0;0
Güímar;Santa Cruz de Tenerife;22.9 (14:30);11.8 (23:10);17,3;30 (15:00);25 (15:00);0;0;0;0;0
San Cristóbal de La Laguna,Llano de los Loros;Santa Cruz de Tenerife;17.9 (14:00);8.1 (22:00);13;47 (12:40);29 (12:20);0;0;0;0;0
Tenerife Norte Aeropuerto;Santa Cruz de Tenerife;17.9 (15:00);10.2 (22:20);14;41 (15:30);24 (12:30);;;;;
Sta.Cruz de Tenerife;Santa Cruz de Tenerife;23.1 (15:10);15.7 (23:50);19,4;26 (16:30);14 (16:50);0;0;0;0;0
Anaga;Santa Cruz de Tenerife;22.3 (15:10);14.3 (23:59);18,3;25 (17:10);12 (12:00);0;0;0;0;0
La Victoria de Acentejo;Santa Cruz de Tenerife;18.1 (15:40);8.7 (07:40);13,4;23 (21:10);19 (21:40);0;0;0;0;0
Tacoronte;Santa Cruz de Tenerife;19.5 (15:30);12.6 (04:10);16,1;22 (04:20);15 (04:20);0;0;0;0;0
Puerto de la Cruz;Santa Cruz de Tenerife;21.1 (17:30);15.1 (08:00);18,1;19 (06:20);11 (06:30);0;0;0;0;0
Los Silos;Santa Cruz de Tenerife;21.3 (15:10);13.4 (23:40);17,3;18 (05:40);13 (22:10);0;0;0;0;0
El Pinar, Depósito;Santa Cruz de Tenerife;14.0 (15:20);6.1 (00:00);10;27 (11:10);14 (11:10);0;0;0;0;0
Valverde;Santa Cruz de Tenerife;12.1 (14:50);4.8 (00:30);8,5;42 (10:10);25 (10:00);0;0;0;0;0
Hierro Aeropuerto;Santa Cruz de Tenerife;21.8 (13:30);16.6 (01:40);19,2;37 (11:20);30 (14:10);0;0;0;0;0
Frontera, Sabinosa;Santa Cruz de Tenerife;;;;;;;;;;
Vandellòs;Tarragona;17.7 (12:50);8.6 (23:50);13,2;48 (07:10);22 (05:40);0;0;0;0;0
Alforja;Tarragona;;;;;;;;;;
Reus Aeropuerto;Tarragona;18.8 (15:10);0.2 (08:10);9,5;17 (03:40);14 (19:50);0;0;0;0;0
Valls;Tarragona;16.6 (14:10);3.4 (04:20);10;;;0;0;0;0;0
Tarragona;Tarragona;19.8 (15:20);7.1 (23:50);13,4;;;0;0;0;0;0
Llorac;Tarragona;8.6 (13:40);-3.3 (08:30);2,7;25 (12:50);20 (13:10);0,2;0;0,2;0;0
Horta de Sant Joan;Tarragona;14.4 (13:10);2.4 (06:00);8,4;;;0;0;0;0;0
La Pobla de Massaluca;Tarragona;5.6 (16:40);-1.5 (08:40);2;9 (05:10);5 (05:10);0;0;0;0;0
Cabacés;Tarragona;14.1 (16:10);-0.4 (08:30);6,9;23 (13:10);8 (13:20);0;0;0;0;0
Rasquera;Tarragona;9.6 (15:50);0.3 (05:20);5;24 (12:10);14 (13:10);0;0;0;0;0
Tortosa;Tarragona;14.7 (14:50);5.1 (04:30);9,9;39 (10:50);20 (10:30);0;0;0;0;0
Sant Jaume d'Enveja;Tarragona;14.4 (16:10);5.4 (04:10);9,9;37 (02:20);23 (01:50);0;0;0;0;0
Albarracín;Teruel;15.4 (15:10);-4.2 (07:50);5,6;28 (02:10);14 (02:10);0;0;0;0;0
Teruel;Teruel;15.7 (16:10);-5.3 (08:30);5,2;10 (20:40);6 (03:30);0;0;0;0;0
Jabaloyas;Teruel;14.4 (14:50);5.6 (02:20);10;24 (22:00);17 (23:00);0;0;0;0;0
Cedrillas;Teruel;13.2 (15:00);-4.0 (05:20);4,6;33 (14:30);22 (14:30);0;0;0;0;0
Mosqueruela;Teruel;14.5 (15:00);4.9 (03:20);9,7;42 (12:40);27 (12:00);0;0;0;0;0
Santa Eulalia del Campo;Teruel;15.9 (14:50);-5.9 (06:50);5;16 (18:20);14 (18:00);0;0;0;0;0
Calamocha;Teruel;15.0 (16:50);-5.5 (06:30);4,8;15 (10:10);9 (10:10);0;0;0;0;0
Fonfría;Teruel;13.5 (13:40);4.1 (04:40);8,8;31 (15:00);23 (15:00);0;0;0;0;0
Muniesa;Teruel;15.4 (14:40);1.2 (06:50);8,3;16 (08:00);11 (01:20);0;0;0;0;0
Montalbán;Teruel;16.3 (15:10);-3.4 (06:50);6,4;18 (14:50);8 (14:50);0;0;0;0;0
Hijar;Teruel;4.4 (15:50);-4.0 (08:30);0,2;12 (15:20);8 (15:20);0;0;0;0;0
Andorra;Teruel;14.0 (14:20);2.0 (05:40);8;25 (05:30);23 (08:50);0;0;0;0;0
Castellote;Teruel;15.6 (14:40);1.6 (08:00);8,6;16 (15:20);10 (02:40);0;0;0;0;0
Calanda;Teruel;14.7 (13:10);3.2 (08:20);8,9;31 (23:50);23 (23:50);0;0;0;0;0
Alcañiz;Teruel;8.8 (16:50);-3.3 (08:20);2,8;14 (13:30);10 (13:30);0;0;0;0;0
Valderrobres;Teruel;14.3 (14:50);-3.4 (07:40);5,5;12 (14:30);7 (14:40);0;0;0;0;0
Bello;Teruel;13.9 (15:30);-6.4 (07:00);3,7;18 (07:30);12 (07:30);0;0;0;0;0
Ocaña;Toledo;16.7 (16:10);-1.5 (08:10);7,6;15 (10:00);12 (04:50);0;0;0;0;0
Tembleque;Toledo;16.8 (16:30);-6.7 (08:10);5;;;0;0;0;0;0
Mora;Toledo;19.1 (16:00);-1.4 (08:00);8,9;10 (14:20);6 (23:59);0;0;0;0;0
Toledo;Toledo;14.9 (16:20);-1.8 (08:10);6,5;14 (09:10);11 (10:20);0;0;0;0;0
San Pablo de los Montes;Toledo;16.3 (15:30);4.4 (06:10);10,3;13 (00:10);8 (23:00);0,1;0,1;0;0;0
Navahermosa;Toledo;;;;;;0;0;0;0;0
Castillo de Bayuela;Toledo;15.8 (16:00);2.3 (06:20);9,1;;;0;0;0;0;0
Talavera de la Reina;Toledo;14.2 (16:10);-0.7 (08:10);6,7;;;0;0;0;0;0
Quintanar de la Orden;Toledo;;;;;;;;;;
Madridejos;Toledo;15.0 (14:00);-4.2 (05:50);5,4;21 (20:50);10 (11:10);;;;;
Fontanars dels Alforins;València/Valencia;16.5 (15:20);-3.1 (05:10);6,7;;;0;0;0;0;0
Oliva;València/Valencia;16.1 (13:20);1.7 (04:00);8,9;21 (05:40);12 (05:40);0;0;0;0;0
Miramar;València/Valencia;19.7 (13:30);7.1 (07:30);13,4;;;0;0;0;0;0
Barx;València/Valencia;18.7 (15:00);2.0 (08:30);10,4;15 (21:10);10 (21:10);0;0;0;0;0
Jalance;València/Valencia;14.3 (15:40);-4.8 (08:30);4,8;10 (12:40);4 (12:40);0;0;0;0;0
Zarra;València/Valencia;16.4 (15:40);8.1 (07:20);12,3;;23 (21:00);0;0;0;0;0
Bicorp;València/Valencia;20.2 (15:30);2.5 (06:10);11,4;13 (20:00);6 (14:40);0;0;0;0;0
Ontinyent;València/Valencia;19.5 (14:40);1.9 (03:10);10,7;16 (15:00);7 (14:50);0;0;0;0;0
Xàtiva;València/Valencia;21.0 (14:20);1.6 (07:40);11,3;21 (05:00);13 (02:30);0;0;0;0;0
Carcaixent;València/Valencia;20.9 (15:00);3.5 (08:20);12,2;22 (11:00);14 (04:00);0;0;0;0;0
Utiel;València/Valencia;16.7 (17:20);-2.1 (06:00);7,3;20 (15:20);14 (15:30);0;0;0;0;0
Buñol;València/Valencia;15.7 (14:40);-1.1 (08:00);7,3;27 (15:30);11 (14:50);0;0;0;0;0
Polinyà de Xúquer;València/Valencia;19.3 (14:50);5.6 (05:50);12,4;26 (03:10);12 (03:10);;;;;
Turís;València/Valencia;20.0 (15:00);4.7 (08:00);12,3;;;0;0;0;0;0
Ademuz;València/Valencia;15.2 (16:00);-5.9 (08:40);4,6;;;0;0;0;0;0
Chelva;València/Valencia;19.1 (15:50);1.7 (08:00);10,4;20 (04:40);12 (04:30);0;0;0;0;0
Lliria;València/Valencia;20.3 (15:00);4.0 (06:40);12,1;23 (21:10);14 (08:00);0;0;0;0;0
Valencia Aeropuerto;València/Valencia;20.9 (16:10);1.3 (07:20);11,1;24 (14:10);16 (14:40);0;0;0;0;0
València, Viveros;València/Valencia;20.2 (14:00);5.3 (04:50);12,8;19 (07:40);10 (10:30);0;0;0;0;0
Sagunto;València/Valencia;21.0 (14:40);1.4 (04:00);11,2;;;;;;;
Peñafiel;Valladolid;12.3 (16:10);-5.2 (08:40);3,6;;;0;0;0;0;0
Sardón de Duero;Valladolid;17.2 (17:00);-7.0 (08:30);5,1;8 (16:00);4 (16:00);0;0;0;0;0
Valladolid;Valladolid;10.3 (16:00);-2.9 (08:30);3,7;11 (19:00);8 (19:00);0;0;0;0;0
Olmedo, Depósito de Agua;Valladolid;10.0 (16:20);-4.9 (08:50);2,5;13 (21:30);11 (05:00);0;0;0;0;0
Rueda;Valladolid;;;;;;;;;;
Fuente el Sol;Valladolid;11.9 (16:20);-5.2 (08:10);3,3;11 (07:10);8 (19:20);0,2;0;0;0;0,2
Villalón de Campos;Valladolid;13.1 (15:20);-3.4 (07:40);4,9;10 (00:20);6 (00:10);0;0;0;0;0
Medina de Rioseco;Valladolid;12.5 (15:50);-5.8 (09:10);3,3;14 (01:00);9 (01:00);0;0;0;0;0
Morales del Toro;Zamora;15.5 (16:20);-4.2 (08:20);5,7;15 (03:00);13 (03:00);0;0;0;0;0
Fuentesauco;Zamora;9.9 (16:20);-2.8 (09:10);3,5;11 (14:10);7 (14:10);0;0;0;0;0
Villafáfila;Zamora;14.4 (16:20);-3.5 (08:50);5,4;19 (04:50);15 (05:00);0;0;0;0;0
Zamora;Zamora;13.3 (15:40);-3.4 (09:10);5;10 (03:10);5 (03:10);0;0;0;0;0
Benavente;Zamora;16.7 (16:40);-2.6 (08:20);7,1;20 (02:40);8 (01:50);0;0;0;0;0
Sanabria, Robleda-Cervantes;Zamora;17.5 (15:30);-7.3 (06:10);5,1;14 (15:40);6 (15:40);0;0;0;0;0
Villardeciervos;Zamora;17.0 (15:00);-5.1 (08:10);6;20 (15:10);10 (15:20);0;0;0;0;0
Santibañez de Vidriales;Zamora;17.5 (16:20);-3.6 (08:50);7;12 (14:50);7 (21:20);0;0;0;0;0
Pozuelo de Tabara;Zamora;15.4 (16:20);-2.5 (09:00);6,4;17 (05:00);15 (05:00);0;0;0;0;0
Villadepera;Zamora;13.8 (15:20);-1.4 (08:20);6,2;28 (02:10);21 (02:00);0;0;0;0;0
Peñausende;Zamora;;;;;6 (11:50);0;0;0;0;0
Fresno de Sayago;Zamora;14.6 (17:00);-1.8 (07:10);6,4;38 (09:40);24 (03:50);0;0;0;0;0
Alcañices;Zamora;17.0 (16:10);2.1 (01:00);9,5;25 (02:10);23 (02:50);0;0;0;0;0
Sos del Rey Católico;Zaragoza;12.6 (16:10);-1.1 (09:00);5,8;13 (04:50);9 (04:50);0;0;0;0;0
Tarazona;Zaragoza;16.6 (16:10);-0.2 (08:20);8,2;22 (22:40);14 (22:40);0;0;0;0;0
Ejea de los Caballeros;Zaragoza;9.9 (16:30);-3.1 (08:50);3,4;12 (14:00);7 (14:10);0;0;0;0;0
Castejon de Valdejasa;Zaragoza;10.9 (17:00);1.5 (07:30);6,2;19 (13:30);14 (13:40);0;0;0;0;0
Alhama de Aragon;Zaragoza;13.8 (16:30);-6.2 (07:30);3,8;;;0;0;0;0;0
Daroca;Zaragoza;14.6 (15:10);-5.3 (08:30);4,7;8 (12:40);4 (11:40);0;0;0;0;0
Calatayud;Zaragoza;12.8 (16:40);-4.7 (07:50);4,1;9 (20:00);6 (20:00);0;0;0;0;0
La Almunia de Doña Godina;Zaragoza;16.4 (16:50);-0.5 (08:30);7,9;16 (05:50);9 (05:40);0;0;0;0;0
Zaragoza Aeropuerto;Zaragoza;6.4 (16:20);-2.0 (07:10);2,2;16 (20:40);11 (20:10);0;0;0;0;0
Zaragoza, Valdespartera;Zaragoza;7.1 (16:00);-2.5 (06:50);2,3;20 (05:00);10 (21:40);0;0;0;0;0
Leciñena;Zaragoza;11.4 (15:30);-4.5 (08:30);3,4;10 (13:30);6 (05:50);0;0;0;0;0
Valmadrid;Zaragoza;15.2 (15:30);0.6 (06:10);7,9;22 (14:30);14 (14:30);0;0;0;0;0
Quinto;Zaragoza;1.7 (16:40);-1.6 (00:00);0,1;11 (23:00);8 (23:00);0;0;0;0;0
Caspe;Zaragoza;2.3 (22:40);-0.8 (09:30);0,7;12 (04:50);9 (07:40);0;0;0;0;0